,observations,mean,std,min,median,max
bal_rrsp,4453.0,76236.58,200885.79,0.0,27777.78,10000000.0
bal_tfsa,3991.0,19680.19,35685.74,0.0,7317.07,1000000.0
bal_other_reg,1212.0,28281.94,58743.44,0.0,11413.04,1000000.0
bal_unreg,2821.0,46241.2,163441.48,0.0,6857.14,6363636.36
first_residence,4456.0,468615.9,552417.32,1.0,350000.0,15000000.0
second_residence,510.0,332859.16,401848.48,1.0,250000.0,7000000.0
business,1319.0,47946.37,367308.52,0.0,0.0,10000000.0
