,weight
0,5210.0
1,5210.0
2,1160.0
3,1160.0
4,1160.0
5,1160.0
6,1160.0
7,1160.0
8,1160.0
9,1160.0
10,1160.0
11,1160.0
12,1160.0
13,1160.0
14,1160.0
15,1160.0
16,1160.0
17,1160.0
18,1160.0
19,1160.0
20,1160.0
21,1160.0
22,1160.0
23,1160.0
24,1160.0
25,1160.0
26,1160.0
27,1160.0
28,1160.0
29,1160.0
30,1160.0
31,1160.0
32,1160.0
33,1160.0
34,1864.0
35,1864.0
36,1864.0
37,1864.0
38,1864.0
39,1864.0
40,1864.0
41,1864.0
42,1864.0
43,1864.0
44,1864.0
45,1864.0
46,1078.0
47,1078.0
48,1078.0
49,1078.0
50,1078.0
51,1078.0
52,1078.0
53,1078.0
54,1078.0
55,1078.0
56,1078.0
57,1078.0
58,1078.0
59,1078.0
60,1078.0
61,1078.0
62,1078.0
63,1078.0
64,1078.0
65,1078.0
66,1078.0
67,1078.0
68,1078.0
69,1078.0
70,673.0
71,673.0
72,673.0
73,673.0
74,673.0
75,673.0
76,673.0
77,673.0
78,673.0
79,673.0
80,673.0
81,673.0
82,673.0
83,673.0
84,673.0
85,673.0
86,673.0
87,673.0
88,673.0
89,673.0
90,673.0
91,673.0
92,673.0
93,673.0
94,673.0
95,673.0
96,673.0
97,673.0
98,673.0
99,673.0
100,673.0
101,673.0
102,673.0
103,673.0
104,673.0
105,673.0
106,673.0
107,673.0
108,673.0
109,673.0
110,673.0
111,1103.0
112,1103.0
113,1103.0
114,1103.0
115,1103.0
116,1103.0
117,1103.0
118,1103.0
119,1103.0
120,1103.0
121,1103.0
122,1103.0
123,1103.0
124,1103.0
125,1103.0
126,1103.0
127,1103.0
128,1103.0
129,1103.0
130,1103.0
131,1103.0
132,1103.0
133,1103.0
134,2685.0
135,2685.0
136,2685.0
137,1365.0
138,1365.0
139,1365.0
140,1365.0
141,1365.0
142,1365.0
143,1365.0
144,1365.0
145,1365.0
146,1365.0
147,1365.0
148,1365.0
149,1365.0
150,1365.0
151,1460.0
152,1460.0
153,1460.0
154,1460.0
155,1460.0
156,1460.0
157,1460.0
158,1460.0
159,1460.0
160,1460.0
161,1045.0
162,1045.0
163,1045.0
164,1045.0
165,1045.0
166,1045.0
167,1045.0
168,1045.0
169,1045.0
170,1045.0
171,1045.0
172,1045.0
173,1045.0
174,1045.0
175,1045.0
176,721.0
177,721.0
178,721.0
179,721.0
180,721.0
181,721.0
182,721.0
183,721.0
184,721.0
185,721.0
186,721.0
187,721.0
188,721.0
189,721.0
190,721.0
191,721.0
192,721.0
193,721.0
194,721.0
195,721.0
196,721.0
197,721.0
198,721.0
199,721.0
200,721.0
201,682.0
202,682.0
203,682.0
204,682.0
205,682.0
206,682.0
207,682.0
208,682.0
209,682.0
210,682.0
211,682.0
212,682.0
213,682.0
214,682.0
215,682.0
216,682.0
217,682.0
218,682.0
219,682.0
220,682.0
221,682.0
222,682.0
223,682.0
224,3968.0
225,3968.0
226,3968.0
227,1149.0
228,1149.0
229,1149.0
230,1149.0
231,1149.0
232,1149.0
233,1149.0
234,1149.0
235,1149.0
236,1149.0
237,1149.0
238,1149.0
239,1149.0
240,1149.0
241,1149.0
242,1149.0
243,1149.0
244,1149.0
245,1149.0
246,1149.0
247,1149.0
248,1149.0
249,1263.0
250,1263.0
251,1263.0
252,1263.0
253,1263.0
254,1263.0
255,1263.0
256,1263.0
257,1263.0
258,1263.0
259,1263.0
260,1263.0
261,1263.0
262,1263.0
263,944.0
264,944.0
265,944.0
266,944.0
267,944.0
268,944.0
269,944.0
270,944.0
271,944.0
272,944.0
273,944.0
274,944.0
275,944.0
276,944.0
277,944.0
278,944.0
279,944.0
280,944.0
281,944.0
282,944.0
283,944.0
284,944.0
285,666.0
286,666.0
287,666.0
288,666.0
289,666.0
290,666.0
291,666.0
292,666.0
293,666.0
294,666.0
295,666.0
296,666.0
297,666.0
298,666.0
299,666.0
300,666.0
301,666.0
302,666.0
303,666.0
304,666.0
305,666.0
306,666.0
307,666.0
308,666.0
309,666.0
310,666.0
311,1162.0
312,1162.0
313,1162.0
314,1162.0
315,1162.0
316,1162.0
317,1162.0
318,1162.0
319,1162.0
320,1162.0
321,1162.0
322,1162.0
323,1162.0
324,1162.0
325,3123.0
326,3123.0
327,3123.0
328,3123.0
329,719.0
330,719.0
331,719.0
332,719.0
333,719.0
334,719.0
335,719.0
336,719.0
337,719.0
338,719.0
339,719.0
340,719.0
341,719.0
342,719.0
343,719.0
344,719.0
345,719.0
346,719.0
347,719.0
348,719.0
349,719.0
350,719.0
351,719.0
352,719.0
353,719.0
354,719.0
355,719.0
356,719.0
357,1152.0
358,1152.0
359,1152.0
360,1152.0
361,1152.0
362,1152.0
363,1152.0
364,1152.0
365,1152.0
366,1152.0
367,1152.0
368,1152.0
369,1152.0
370,1152.0
371,1152.0
372,1152.0
373,1381.0
374,1381.0
375,1381.0
376,1381.0
377,1381.0
378,1381.0
379,1381.0
380,1381.0
381,1381.0
382,1381.0
383,1381.0
384,1381.0
385,1381.0
386,1381.0
387,510.0
388,510.0
389,510.0
390,510.0
391,510.0
392,510.0
393,510.0
394,510.0
395,510.0
396,510.0
397,510.0
398,510.0
399,510.0
400,510.0
401,510.0
402,510.0
403,510.0
404,510.0
405,510.0
406,510.0
407,510.0
408,510.0
409,510.0
410,510.0
411,510.0
412,510.0
413,510.0
414,510.0
415,510.0
416,510.0
417,641.0
418,641.0
419,641.0
420,641.0
421,641.0
422,641.0
423,641.0
424,641.0
425,641.0
426,641.0
427,641.0
428,641.0
429,641.0
430,641.0
431,641.0
432,641.0
433,641.0
434,641.0
435,641.0
436,641.0
437,641.0
438,641.0
439,641.0
440,641.0
441,3165.0
442,1997.0
443,1997.0
444,1997.0
445,1997.0
446,1997.0
447,1997.0
448,1997.0
449,1997.0
450,1997.0
451,1997.0
452,1997.0
453,1997.0
454,1997.0
455,2059.0
456,2059.0
457,2059.0
458,2059.0
459,2059.0
460,2059.0
461,2059.0
462,2059.0
463,2059.0
464,912.0
465,912.0
466,912.0
467,912.0
468,912.0
469,912.0
470,912.0
471,912.0
472,912.0
473,817.0
474,817.0
475,817.0
476,817.0
477,817.0
478,817.0
479,817.0
480,817.0
481,817.0
482,817.0
483,817.0
484,817.0
485,817.0
486,817.0
487,1959.0
488,1959.0
489,1959.0
490,1959.0
491,1959.0
492,3765.0
493,895.0
494,895.0
495,895.0
496,895.0
497,895.0
498,895.0
499,895.0
500,895.0
501,895.0
502,895.0
503,895.0
504,895.0
505,895.0
506,895.0
507,895.0
508,895.0
509,895.0
510,895.0
511,895.0
512,895.0
513,895.0
514,895.0
515,895.0
516,895.0
517,895.0
518,895.0
519,895.0
520,895.0
521,895.0
522,895.0
523,895.0
524,895.0
525,895.0
526,895.0
527,2345.0
528,2345.0
529,2345.0
530,2345.0
531,2345.0
532,2345.0
533,2345.0
534,2345.0
535,2345.0
536,2345.0
537,2345.0
538,2345.0
539,2345.0
540,2345.0
541,2345.0
542,941.0
543,941.0
544,941.0
545,941.0
546,941.0
547,941.0
548,941.0
549,941.0
550,663.0
551,663.0
552,663.0
553,663.0
